Name,lat,lon
Thorigny-sur-Oreuse,48.29297,3.40128
Thilouze,47.22415,0.57963
Thairé,46.07355,-1.00288
Tanneron,43.59057,6.87541
Taninges,46.10883,6.59231
Soisy-sur-École,48.47637,2.49301
Soings-en-Sologne,47.41289,1.52452
Sisteron,44.19002,5.94643
Schœneck,49.21667,6.91667
Sancé,46.33926,4.83049
Saint-Valérien,48.17805,3.09523
Saint-Trivier-de-Courtes,46.4598,5.07762
Saint-Sylvestre-Cappel,50.77625,2.55622
Saint-Savournin,43.40848,5.5269
Saint-Savin,45.13874,-0.44853
Saint-Restitut,44.32446,4.79282
Saint-Quentin-de-Baron,44.81814,-0.28714
Saint-Privat,45.13831,2.09902
Saint-Priest,44.71648,4.54627
Saint-Pierre-Quiberon,47.52072,-3.13346
Saint-Pierre-le-Moûtier,46.79277,3.11657
Saint-Pierre-Église,49.66848,-1.40358
Saint-Pierre-du-Regard,48.84286,-0.54631
Saint-Philbert-du-Peuple,47.39295,-0.04415
Saint-Paul-en-Jarez,45.48512,4.57113
Saint-Paul-en-Chablais,46.37958,6.62483
Saint-Nicolas-de-la-Taille,49.51085,0.47405
Saint-Nicolas,50.30413,2.77939
Saint-Mars-la-Brière,48.03046,0.37319
Saint-Maixant,44.57908,-0.26096
Saint-Laurent-du-Pont,45.3924,5.73312
Saint-Jouan-des-Guérets,48.5989,-1.97361
Saint-Jean-le-Vieux,46.03005,5.38798
Saint-Hilaire-lez-Cambrai,50.18419,3.41327
Saint-Georges-les-Bains,44.861,4.80924
Saint-Etienne-de-Tulmont,44.05,1.46667
Saint-Égrève,45.23313,5.68154
Sainte-Colombe,48.53047,3.25517
Sainte-Bazeille,44.53051,0.09388
Saint-Dizier,48.63773,4.94892
Saint-Cyr-sur-Menthon,46.27502,4.97246
Saint-Céré,44.85931,1.89127
Saint-Cassien,45.3571,5.54793
Saint-Brevin-les-Pins,47.24693,-2.16647
Saint-Bonnet-de-Mure,45.69042,5.02912
Saint-Aubin-le-Cloud,46.6521,-0.35384
Saint-Aubin-des-Bois,48.46549,1.35784
Saint-Amé,48.02388,6.66416
Saint-Amand-Montrond,46.72284,2.50494
